"Appendix 1. Gorzelak et al. 2024. Geochemical signatures and nanomechanical properties of echinoid tests from nearshore habitats of Florida: Environmental and physiological controls on echinoid biomineralization. PeerJ. Last updated October 24, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,decimal latitutde,decimal longitude,meters,year AD,month-numerical,day-numerical,per mile,per mile,per mile,per mile,per mile,per mile,decimal latitude,decimal longitude,degree C,degree C,degree C,degree C,degree C,cm,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,umol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
species,SpecID,Region,Station,Basin,Latitude,Longitude,Depth,Year,Month,Day,sal_mean,sal_med,sal_q25,sal_q75,sal_min,sal_max,noaa.lat,noaa.long,winter,spring,summer,fall,meanT,size,Cu,Pb,Zn,Mn,Sr,Cd,P,Mg,Ba,B,Na,S,Li
Encope aberrans,ap-15.1,Northern Gulf,AP-15,Gulf of Mexico,29.61218,-84.37015,20.7,2020,11,9,30.69084249,31,28.9,32.7,23.5,37.2,29.55,-84.55,18.261,22.31,31.213,23.694,23.8695,11.84,0.0051,0.2137,0.0086,0.1441,2.434,0.0597,0.1733,133.5951091,0.0121,0.4468,33.9672,10.8796,0.0677
Leodia sexiesperforata,fk-17.9,Florida Keys,FK-17,Atlantic,24.81612,-80.73525,6.1,2021,1,23,33.71607692,36.295,35.765,36.765,1.365,38.1,24.85,-80.75,24.33,27.126,30.323,26.012,26.94775,9.51,0.0247,0.5464,0.0255,0.0521,2.5967,0.0243,0.2642,170.0596389,0.0111,0.7192,29.6681,11.4865,0.0688
Leodia sexiesperforata,fk-3.1,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,7,0.0052,0.2567,0.0473,0.0382,2.5895,0.0374,0.226,176.2424389,0.0201,0.6863,31.6022,11.3508,0.0706
Leodia sexiesperforata,fk-9.8,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,8.42,0.01,0.3301,0.0111,0.0317,2.4909,0.0477,0.563,167.7657899,0.0064,0.6203,26.7212,10.876,0.0676
Leodia sexiesperforata,fk-17.11,Florida Keys,FK-17,Atlantic,24.81612,-80.73525,6.1,2021,1,23,33.71607692,36.295,35.765,36.765,1.365,38.1,24.85,-80.75,24.33,27.126,30.323,26.012,26.94775,8.5,0.0032,0.2145,0.0146,0.0221,2.503,0.0599,0.5217,173.9831288,0.0076,0.8222,27.2976,11.3398,0.0698
Leodia sexiesperforata,fk-3.3,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,8.67,0.0041,0.2331,0.0072,0.0238,2.4839,0.0348,0.1686,168.6559581,0.0188,0.7849,23.225,12.214,0.0696
Encope michelini,fk-9.1,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,7.78,0.0021,0.1134,0.0054,0.0143,2.3582,0.0232,0.2107,138.5320641,0.0045,0.5311,35.9899,10.582,0.062
Encope michelini,ap-8.7,Northern Gulf,AP-8,Gulf of Mexico,29.8427,-84.27122,11,2019,8,14,30.79208145,31.1,29.5,32.6,23.5,37.2,29.75,-84.65,18.187,23.446,30.85,23.46,23.98575,NA,0.0081,0.3015,0.0115,0.0474,2.3732,0.0347,0.2942,135.4943693,0.0066,0.8187,28.1962,9.7426,0.06
Leodia sexiesperforata,fk-3.4,Florida Keys,FK-3,Atlantic,24.78605,-80.88287,1.8,2020,8,26,33.51530769,36.31,34.9,36.8,1.54,38.4,24.75,-80.95,26.11,25.016,28.825,26.012,26.49075,7.7,0.0029,0.1944,0.0651,0.0171,2.4702,0.0239,0.2601,166.2771514,0.0169,0.6334,37.3188,11.3056,0.0696
Leodia sexiesperforata,fk-9.2,Florida Keys,FK-9,Atlantic,24.74689,-80.79453,8.2,2020,8,28,33.195,36.1375,35.8,36.3,0.395,36.84,24.65,-80.75,23.823,27.126,30.323,26.012,26.821,9.2,0.0035,0.1815,0.006,0.022,2.5541,0.0717,0.9106,167.4380761,0.0067,0.9318,29.6781,10.4717,0.0697
Leodia sexiesperforata,fk-17.13,Florida Keys,FK-17,Atlantic,24.81612,-80.73525,6.1,2021,1,23,33.71607692,36.295,35.765,36.765,1.365,38.1,24.85,-80.75,24.33,27.126,30.323,26.012,26.94775,9.06,0.0041,0.157,0.0174,0.0123,2.5576,0.0482,0.3938,170.6398723,0.0067,0.7271,33.6043,10.99,0.0703
