"Appendix 2. Gorzelak et al. 2024. Geochemical signatures and nanomechanical properties of echinoid tests from nearshore habitats of Florida: Environmental and physiological controls on echinoid biomineralization. PeerJ. Last updated October 24, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mo,Cu,Pb,Zn,Ag,Ni,Co,Mn,Fe,As,U,Au,Th,Sr,Cd,Sb,Bi,V,Ca,P,La,Cr,Mg,Ba,Ti,B,Al,Na,K,W,Sc,Tl,S,Hg,Se,Te,Ga,Cs,Ge,Hf,Nb,Rb,Sn,Ta,Zr,Y,Ce,In,Re,Be,Li,Pd,Pt
,,PPM,PPM,PPM,PPM,PPB,PPM,PPM,PPM,%,PPM,PPM,PPB,PPM,PPM,PPM,PPM,PPM,PPM,%,%,PPM,PPM,%,PPM,%,PPM,%,%,%,PPM,PPM,PPM,%,PPB,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPM,PPB,PPM,PPM,PPB,PPB
,detection limits,0.01,0.01,0.01,0.1,2,0.1,0.1,1,0.01,0.1,0.1,0.2,0.1,0.5,0.01,0.02,0.02,1,0.01,0.001,0.5,0.5,0.01,0.5,0.001,20,0.01,0.001,0.01,0.1,0.1,0.02,0.02,5,0.1,0.02,0.1,0.02,0.1,0.02,0.02,0.1,0.1,0.05,0.1,0.01,0.1,0.02,1,0.1,0.1,10,2
species,SpecID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encope aberrans,"ap-15,1",0.07,2.4,0.33,4.2,<2,"<0,1",0.3,59,0.06,"<0,1","<0,1","<0,2","<0,1",1589.5,0.05,0.06,"<0,02",<1,29.87,0.004,"<0,5","<0,5",2.42,12.4,0.002,36,0.02,0.582,"<0,01","<0,1","<0,1","<0,02",0.26,<5,0.6,0.14,0.1,"<0,02","<0,1","<0,02",0.07,0.2,0.4,"<0,05",0.2,0.23,0.3,"<0,02",<1,"<0,1",3.5,<10,<2
Leodia sexiesperforata,"fk-17,9",0.09,11.5,0.83,12.2,7,"<0,1",0.3,21,0.11,"<0,1","<0,1","<0,2","<0,1",1667.9,0.02,0.22,"<0,02",<1,29.38,0.006,"<0,5",0.7,3.03,11.2,0.003,57,0.03,0.5,0.01,"<0,1",0.1,"<0,02",0.27,<5,0.5,0.14,0.2,"<0,02","<0,1","<0,02",0.08,0.2,1.4,"<0,05",0.3,0.25,0.4,"<0,02",<1,"<0,1",3.5,<10,<2
Leodia sexiesperforata,"fk-3,1",0.09,2.34,0.38,22.1,3,"<0,1",0.3,15,0.07,1,0.2,0.8,"<0,1",1620.8,0.03,0.3,"<0,02",<1,28.63,0.005,"<0,5",0.6,3.06,19.7,"<0,001",53,"<0,01",0.519,"<0,01","<0,1","<0,1","<0,02",0.26,<5,0.5,0.14,"<0,1","<0,02","<0,1","<0,02","<0,02",0.1,1.5,"<0,05","<0,1",0.1,0.1,"<0,02",<1,"<0,1",3.5,<10,<2
Leodia sexiesperforata,"fk-9,8",0.06,4.72,0.51,5.4,3,"<0,1",0.3,13,0.07,"<0,1","<0,1","<0,2","<0,1",1627.2,0.04,0.3,"<0,02",<1,29.88,0.013,"<0,5",0.6,3.04,6.6,0.001,50,"<0,01",0.458,"<0,01","<0,1","<0,1","<0,02",0.26,<5,0.5,0.14,"<0,1","<0,02","<0,1","<0,02",0.03,0.1,1.1,"<0,05",0.1,0.1,0.2,"<0,02",<1,"<0,1",3.5,<10,<2
Leodia sexiesperforata,"fk-17,11",0.06,1.53,0.33,7.1,3,"<0,1",0.3,9,0.05,"<0,1",0.2,1.2,"<0,1",1628.5,0.05,0.33,"<0,02",<1,29.76,0.012,"<0,5",0.6,3.14,7.8,"<0,001",66,"<0,01",0.466,"<0,01","<0,1","<0,1","<0,02",0.27,<5,0.4,0.12,"<0,1","<0,02","<0,1","<0,02","<0,02","<0,1",1.2,"<0,05",0.2,0.07,"<0,1","<0,02",<1,"<0,1",3.6,<10,<2
Leodia sexiesperforata,"fk-3,3",0.05,2.01,0.37,3.6,2,"<0,1",0.2,10,0.04,1,0.1,"<0,2","<0,1",1667.1,0.03,0.16,"<0,02",<1,30.7,0.004,"<0,5","<0,5",3.14,19.8,"<0,001",65,"<0,01",0.409,"<0,01","<0,1","<0,1","<0,02",0.3,<5,0.5,0.15,"<0,1","<0,02","<0,1","<0,02","<0,02","<0,1",0.8,"<0,05","<0,1",0.06,0.1,"<0,02",<1,"<0,1",3.7,<10,<2
Encope michelini,"fk-9,1",0.04,1.01,0.18,2.7,<2,"<0,1",0.2,6,0.03,"<0,1",0.1,"<0,2","<0,1",1583.3,0.02,0.14,"<0,02",<1,30.71,0.005,"<0,5","<0,5",2.58,4.7,"<0,001",44,"<0,01",0.634,"<0,01","<0,1","<0,1","<0,02",0.26,<5,0.4,0.14,"<0,1","<0,02","<0,1","<0,02","<0,02","<0,1",0.5,"<0,05",0.1,0.04,"<0,1","<0,02",<1,"<0,1",3.3,<10,<2
